Entity,Code,Year,Annual nitrous oxide emissions in CO₂ equivalents,Annual methane emissions in CO₂ equivalents,Annual CO₂ emissions,Total_GHG_emission
India,IND,1850,20999728,200839070,122218824,344057622
India,IND,1851,21421240,201611650,96143360,319176250
India,IND,1852,21832280,202384880,83551416,307768576
India,IND,1853,22226366,203158720,75527250,300912336
India,IND,1854,22597016,203933180,69677070,296207266
India,IND,1855,22937756,204708290,65683304,293329350
India,IND,1856,23242100,205484060,64156636,292882796
India,IND,1857,23503572,206260420,61775040,291539032
India,IND,1858,23715692,207113280,60337530,291166502
India,IND,1859,23871974,207937490,59553604,291363068
India,IND,1860,23965942,208717140,58558744,291241826
India,IND,1861,24020748,209468130,57741148,291230026
India,IND,1862,24065564,210258000,56548428,290871992
India,IND,1863,24102964,211049840,56302764,291455568
India,IND,1864,24135512,211824530,56049776,292009818
India,IND,1865,24165782,212604320,56332948,293103050
India,IND,1866,24196338,213400740,56002840,293599918
India,IND,1867,24229752,214060820,55106560,293397132
India,IND,1868,24268590,214844510,54495892,293608992
India,IND,1869,24315426,215628900,55021068,294965394
India,IND,1870,24372818,217394380,54935576,296702774
India,IND,1871,24765518,217755120,55033280,297553918
India,IND,1872,25728488,218115840,56376748,300221076
India,IND,1873,27129648,218476720,56816424,302422792
India,IND,1874,28836902,218837620,55460748,303135270
India,IND,1875,30718170,219198500,56071412,305988082
India,IND,1876,32641354,219559550,56303468,308504372
India,IND,1877,34474380,219920620,56608800,311003800
India,IND,1878,36085144,220621540,57936030,314642714
India,IND,1879,37341572,220955650,58317610,316614832
India,IND,1880,38111572,221350340,59411576,318873488
India,IND,1881,38554884,223262780,61318268,323135932
India,IND,1882,38928640,225233800,63788140,327950580
India,IND,1883,39246828,227216670,64386936,330850434
India,IND,1884,39523424,229174370,65640896,334338690
India,IND,1885,39772424,231063710,66164150,337000284
India,IND,1886,40007810,233027890,66672220,339707920
India,IND,1887,40243570,235016130,67955460,343215160
India,IND,1888,40493684,236998690,69556970,347049344
India,IND,1889,40772148,239016820,71280660,351069628
India,IND,1890,42324820,241026100,71507300,354858220
India,IND,1891,42446840,241501330,73313656,357261826
India,IND,1892,42574044,241994960,73690820,358259824
India,IND,1893,42706284,242432160,74609590,359748034
India,IND,1894,42843424,242925200,75415910,361184534
India,IND,1895,42985296,243590660,78726980,365302936
India,IND,1896,43131756,244116500,80692616,367940872
India,IND,1897,43282664,244620350,81044850,368947864
India,IND,1898,43437856,245220690,82625040,371283586
India,IND,1899,43597200,245807780,84042860,373447840
India,IND,1900,43760536,246575900,85111870,375448306
India,IND,1901,43937030,245603440,85995580,375536050
India,IND,1902,44132420,244717040,87258056,376107516
India,IND,1903,44341390,243574220,88301976,376217586
India,IND,1904,44558630,242698910,90341770,377599310
India,IND,1905,44778836,241618670,91358790,377756296
India,IND,1906,44996696,240933860,94148480,380079036
India,IND,1907,45206896,240235730,95785224,381227850
India,IND,1908,45404132,239639550,99702720,384746402
India,IND,1909,45583092,238224770,100231740,384039602
India,IND,1910,45738464,237088200,101408410,384235074
India,IND,1911,45873336,237745380,105121784,388740500
India,IND,1912,45996188,238787400,109654650,394438238
India,IND,1913,46109784,239671100,113784664,399565548
India,IND,1914,46216916,240122900,114809910,401149726
India,IND,1915,46320372,240713940,116375624,403409936
India,IND,1916,46422910,241140750,119743680,407307340
India,IND,1917,46527336,241825250,123505416,411858002
India,IND,1918,46636416,243030340,126916750,416583506
India,IND,1919,46752932,244039230,131655820,422447982
India,IND,1920,46879664,242867200,179596020,469342884
India,IND,1921,47026400,245727420,208919700,501673520
India,IND,1922,47196664,248147700,223669710,519014074
India,IND,1923,47383820,250887100,234435620,532706540
India,IND,1924,47581256,253910270,243503680,544995206
India,IND,1925,47782332,256343570,251351200,555477102
India,IND,1926,47980440,258894270,254994990,561869700
India,IND,1927,48168944,261777060,262432220,572378224
India,IND,1928,48341220,264354820,263906780,576602820
India,IND,1929,48490640,267185340,270500300,586176280
India,IND,1930,48610584,269840320,275942900,594393804
India,IND,1931,48714184,272854430,274250880,595819494
India,IND,1932,48819348,276040670,276426850,601286868
India,IND,1933,48926628,279626750,280308060,608861438
India,IND,1934,49036580,284088770,286735650,619861000
India,IND,1935,49149744,288116300,290716220,627982264
India,IND,1936,49266664,293405060,294709660,637381384
India,IND,1937,49387896,299688200,302145820,651221916
India,IND,1938,49513988,306307360,308948220,664769568
India,IND,1939,49645490,311677060,310299000,671621550
India,IND,1940,49782944,317832200,316325220,683940364
India,IND,1941,50063920,322512320,318891400,691467640
India,IND,1942,50589720,327186750,321490140,699266610
India,IND,1943,51306504,330601660,318403360,700311524
India,IND,1944,52160430,335563100,323729600,711453130
India,IND,1945,53097670,341287700,330849570,725234940
India,IND,1946,54064390,345962400,331702800,731729590
India,IND,1947,55006736,344941700,335845730,735794166
India,IND,1948,55870884,349742370,339472480,745085734
India,IND,1949,56602988,355167900,344959970,756730858
India,IND,1950,57149212,360013500,398361630,815524342
India,IND,1951,57615970,367929600,425903260,851448830
India,IND,1952,58138150,376554880,445538800,880231830
India,IND,1953,58704684,385101300,455721020,899527004
India,IND,1954,59304456,394173400,471630940,925108796
India,IND,1955,59926384,403946240,485308600,949181224
India,IND,1956,60559360,413703100,495566300,969828760
India,IND,1957,61192300,424966720,507133060,993292080
India,IND,1958,61814116,435742340,514366820,1011923276
India,IND,1959,62413700,446976060,523051620,1032441380
India,IND,1960,62979964,459401340,427467330,949848634
India,IND,1961,66897760,464251970,487488350,1018638080
India,IND,1962,67332136,467851940,397647650,932831726
India,IND,1963,67914070,470602370,379663840,918180280
India,IND,1964,69702140,475639300,370320420,915661860
India,IND,1965,69531300,476835260,366727040,913093600
India,IND,1966,72304820,485011900,400110560,957427280
India,IND,1967,75028490,490093280,402344860,967466630
India,IND,1968,77505280,498326340,362008300,937839920
India,IND,1969,79417896,504804100,369736900,953958896
India,IND,1970,80628136,510904320,339287000,930819456
India,IND,1971,82841976,516217400,365148930,964208306
India,IND,1972,84745250,519864740,434088000,1038697990
India,IND,1973,86637260,526488700,417943230,1031069190
India,IND,1974,86353890,533217380,412756740,1032328010
India,IND,1975,94434940,545331600,408005060,1047771600
India,IND,1976,94005190,549305200,394033150,1037343540
India,IND,1977,98285096,559910500,479864540,1138060136
India,IND,1978,102891110,567711800,436945540,1107548450
India,IND,1979,104843490,573893760,419058850,1097796100
India,IND,1980,106826790,585295900,438173660,1130296350
India,IND,1981,112078900,600240830,467572060,1179891790
India,IND,1982,112914430,605982700,456136260,1175033390
India,IND,1983,120338650,625922600,543472200,1289733450
India,IND,1984,125858310,636844000,514324130,1277026440
India,IND,1985,128522220,645387260,531206300,1305115780
India,IND,1986,134930960,663104640,569596600,1367632200
India,IND,1987,130882056,669463740,570234300,1370580096
India,IND,1988,141920030,695572740,643113500,1480606270
India,IND,1989,144402500,711723650,666778560,1522904710
India,IND,1990,147203760,686982800,699189440,1533376000
India,IND,1991,151698900,696692740,729205950,1577597590
India,IND,1992,156109500,701173100,779034300,1636316900
India,IND,1993,159806370,704698240,784655040,1649159650
India,IND,1994,165262600,711759600,808430400,1685452600
India,IND,1995,168813540,722343900,835291000,1726448440
India,IND,1996,173400460,730944400,921820500,1826165360
India,IND,1997,178059150,740451200,930346500,1848856850
India,IND,1998,181776460,745538050,939288900,1866603410
India,IND,1999,184872290,752195600,1010637400,1947705290
India,IND,2000,181971630,756164030,1070998400,2009134060
India,IND,2001,185168420,763101300,1070751940,2019021660
India,IND,2002,179499060,758900740,1079162600,2017562400
India,IND,2003,185594780,772636700,1130002400,2088233880
India,IND,2004,192071870,784247940,1186476000,2162795810
India,IND,2005,200261180,801230460,1237859100,2239350740
India,IND,2006,208634430,811161600,1307692000,2327488030
India,IND,2007,218101010,831120000,1426520200,2475741210
India,IND,2008,222931970,847237600,1553692300,2623861870
India,IND,2009,228364930,854783200,1673630800,2756778930
India,IND,2010,235382380,865391740,1746587300,2847361420
India,IND,2011,244077000,875039100,1838232400,2957348500
India,IND,2012,243473940,874562700,2037169000,3155205640
India,IND,2013,243264210,846578940,2130676500,3220519650
India,IND,2014,246361540,852752260,2234169000,3333282800
India,IND,2015,249503900,858451600,2330770200,3438725700
India,IND,2016,248990270,864380860,2451490000,3564861130
India,IND,2017,253388530,872071500,2495739100,3621199130
India,IND,2018,259801040,875770100,2648225000,3783796140
India,IND,2019,259914080,889505300,2666360300,3815779680
India,IND,2020,268902340,892206850,2476962000,3638071190
India,IND,2021,272905760,897013250,2731008000,3900927010
